"","user_id","Condition","condition","age","gender","field","degree","motivation","sc","pre_mean","steps_I","steps_C","steps_S","gain_I","gain_C","gain_S","pre1_I","pre1_C","pre1_S","pre2_I","pre2_C","pre2_S","pre_mean_z","college_1_feedback_truth","college_1_feedback_length","college_1_ToF","college_2_feedback_truth","college_2_feedback_length","college_2_ToF","college_3_feedback_truth","college_3_feedback_length","college_3_ToF","college_4_feedback_truth","college_4_feedback_length","college_4_ToF","intermediate_1_feedback_truth","intermediate_1_feedback_length","intermediate_1_ToF","intermediate_2_feedback_truth","intermediate_2_feedback_length","intermediate_2_ToF","intermediate_3_feedback_truth","intermediate_3_feedback_length","intermediate_3_ToF","intermediate_4_feedback_truth","intermediate_4_feedback_length","intermediate_4_ToF","statistics_1_feedback_truth","statistics_1_feedback_length","statistics_1_ToF","statistics_2_feedback_truth","statistics_2_feedback_length","statistics_2_ToF","statistics_3_feedback_truth","statistics_3_feedback_length","statistics_3_ToF","statistics_4_feedback_truth","statistics_4_feedback_length","statistics_4_ToF"
"12","154388437","Mixed","Mixed",NA,NA,"General",NA,2.25,1.4,0.5,4,0,4,-0.5,0,0,1,0,1,0,1,0,-0.370320029571751,FALSE,757,77.148,TRUE,816,2.126999855,FALSE,1744,2.11500001,TRUE,435,5.598999977,FALSE,414,3.816999912,TRUE,322,19.50099993,FALSE,229,11.31699991,TRUE,434,11.11899996,TRUE,463,7.046000004,TRUE,794,7.615999937,FALSE,870,1.23300004,FALSE,1008,1.187999964
"13","179092855","Accurate","Accurate",21,"Female",NA,"Upper s",1.75,6.6,0.333333333333333,4,4,4,0.5,0,0,1,0,1,0,0,0,-1.03982516778057,TRUE,593,2.801999807,TRUE,816,22.56999993,TRUE,719,1.973999977,TRUE,435,11.53399992,TRUE,434,4.424999952,TRUE,322,4.336999893,TRUE,366,1.996999979,TRUE,434,6.506000042,TRUE,463,7.611999989,TRUE,794,3.903999805,TRUE,708,7.457999945,TRUE,574,4.437000036
"14","217123549","Accurate","Accurate",NA,NA,"Science",NA,NA,NA,0.666666666666667,4,4,4,-0.5,-0.5,-0.5,1,1,0,0,1,1,0.299185108637064,TRUE,593,2.712999821,TRUE,816,8.911000013,TRUE,719,15.84500003,TRUE,435,15.13300014,TRUE,434,5.312000036,TRUE,322,1.657999992,TRUE,366,2.490999937,TRUE,434,6.023000002,TRUE,463,2.576000214,TRUE,794,4.503000021,TRUE,708,7.71600008,TRUE,574,2.739000082
"15","218194954","Accurate","Accurate",21,"Female",NA,"Upper s",2.25,3.6,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,NA,NA,816,NA,NA,719,NA,NA,435,NA,TRUE,434,3.243000031,TRUE,322,4.679999828,TRUE,366,3.292999983,TRUE,434,2.654000044,NA,463,NA,NA,794,NA,NA,708,NA,NA,574,NA
"16","227776249","Inaccurate","Inaccurate",NA,NA,NA,NA,4,8,0,0,4,0,NA,0,NA,NA,0,NA,NA,0,NA,-2.3788354441982,FALSE,757,2.523000002,FALSE,500,51.11299992,FALSE,1744,3.40199995,FALSE,1353,264.4729998,NA,414,NA,NA,393,NA,NA,229,NA,NA,351,NA,NA,662,NA,NA,865,NA,NA,870,NA,NA,1008,NA
"17","234506068","Mixed","Mixed",19,"Male","Science","Upper s",3,7.2,0.833333333333333,4,4,4,0.5,0,0,1,1,1,0,1,1,0.96869024684588,FALSE,757,4.71600008,TRUE,816,1.872999907,FALSE,1744,2.539999962,TRUE,435,4.263000011,FALSE,414,4.184000015,TRUE,322,4.312999964,FALSE,229,5.786000013,TRUE,434,2.09800005,TRUE,463,13.71600008,TRUE,794,4.913000107,FALSE,870,8.170000076,FALSE,1008,4.339999914
"18","242772097","Inaccurate","Inaccurate",23,"Male","Science",NA,1.5,7,0.5,4,4,4,0,0,0.5,1,0,0,0,1,1,-0.370320029571751,FALSE,757,207.9250002,FALSE,500,70.34699988,FALSE,1744,221.4100001,FALSE,1353,123.625,FALSE,414,109.658,FALSE,393,178.6099999,FALSE,229,68.96399999,FALSE,351,208.063,FALSE,662,75.07200003,FALSE,865,194.4680002,FALSE,870,151.4200001,FALSE,1008,76.57200003
"19","243831519","Accurate","Accurate",NA,NA,NA,NA,NA,NA,1,0,4,0,NA,0,NA,NA,1,NA,NA,1,NA,1.6381953850547,TRUE,593,6.536999941,TRUE,816,24.95600009,TRUE,719,10.16499996,TRUE,435,7.346999884,NA,434,NA,NA,322,NA,NA,366,NA,NA,434,NA,NA,463,NA,NA,794,NA,NA,708,NA,NA,574,NA
"20","284117684","Mixed","Mixed",NA,NA,NA,NA,NA,NA,0.333333333333333,1,4,4,NA,0,1,1,0,0,0,1,0,-1.03982516778057,FALSE,757,37.36599994,TRUE,816,24.68299985,FALSE,1744,9.437999964,TRUE,435,2.469000101,FALSE,414,31.18099999,NA,322,NA,NA,229,NA,NA,434,NA,TRUE,463,2.07799983,TRUE,794,6.738000154,FALSE,870,19.0619998,FALSE,1008,8.415999889
"21","315289696","Accurate","Accurate",18,"Male","Science","Upper s",3,7.2,0.833333333333333,4,4,4,0,0.5,-0.5,1,0,1,1,1,1,0.96869024684588,TRUE,593,7.279999971,TRUE,816,9.359999895,TRUE,719,2.690999985,TRUE,435,5.850000143,TRUE,434,11.13200021,TRUE,322,2.614000082,TRUE,366,2.676000118,TRUE,434,6.369999886,TRUE,463,3.493000031,TRUE,794,11.67400002,TRUE,708,7.039000034,TRUE,574,23.92199993
"22","340006003","Control","Control",24,"Non-bin",NA,"Upper s",2.5,3.2,0.666666666666667,4,4,4,0,0,0.5,1,1,0,1,1,0,0.299185108637064,NA,149,1.40899992,NA,143,1.112999916,NA,130,0.812999964,NA,105,3.993000031,NA,133,4.067000151,NA,74,1.770999908,NA,66,0.42200017,NA,70,0.725999832,NA,429,1.445000172,NA,255,0.596999884,NA,276,4.404999971,NA,248,0.614000082
"23","361625846","Mixed","Mixed",21,"Male",NA,"Upper s",2.75,1.4,0.333333333333333,4,4,4,0,0,-0.5,0,0,1,0,0,1,-1.03982516778057,FALSE,757,15.44099998,TRUE,816,15.59699988,FALSE,1744,30.46300006,TRUE,435,27.24699998,FALSE,414,16.71399999,TRUE,322,34.35700011,FALSE,229,14.07299995,TRUE,434,26.09399986,TRUE,463,5.878999949,TRUE,794,27.47600007,FALSE,870,27.02699995,FALSE,1008,45.08699989
"24","406971024","Accurate","Accurate",57,"Female","Science","Short-c",3.25,5.6,0.5,4,3,4,0.5,-0.5,0,1,1,1,0,0,0,-0.370320029571751,TRUE,593,30.58299994,TRUE,816,25.83999991,TRUE,719,90.39700007,TRUE,435,30.97799993,TRUE,434,17.51699996,TRUE,322,18.69499993,TRUE,366,84.26200008,TRUE,434,68.83099985,TRUE,463,12.17400002,TRUE,794,29.41700006,TRUE,708,20.01300001,TRUE,574,22.98799992
"25","423672712","Control","Control",21,"Female",NA,"Upper s",3,7.2,1,4,4,4,0,0,0,1,1,1,1,1,1,1.6381953850547,NA,149,1.133000135,NA,143,1.355000019,NA,130,3.983999968,NA,105,0.865999937,NA,133,6.13499999,NA,74,1.555999994,NA,66,0.828999996,NA,70,0.863000154,NA,429,1.518000126,NA,255,1.139000177,NA,276,1.748000145,NA,248,6.000999928
"26","433144051","Control","Control",20,"Male",NA,"Upper s",2.5,4.4,0.5,4,4,4,0,0,0,1,1,0,0,1,0,-0.370320029571751,NA,149,3.900000095,NA,143,2.069000006,NA,130,0.704999924,NA,105,1.994000196,NA,133,3.957000017,NA,74,0.509000063,NA,66,1.244999886,NA,70,0.375,NA,429,2.212000132,NA,255,3.780999899,NA,276,0.786999941,NA,248,0.646000147
"27","444146535","Inaccurate","Inaccurate",20,"Female","Humanit","Upper s",2.75,3.4,0.333333333333333,4,4,4,-0.5,1,0.5,1,0,0,1,0,0,-1.03982516778057,FALSE,757,46.75200009,FALSE,500,50.46099997,FALSE,1744,101.664,FALSE,1353,36.04899979,FALSE,414,7.604999781,FALSE,393,12.12100005,FALSE,229,12.18000007,FALSE,351,35.12799978,FALSE,662,16.49799991,FALSE,865,19.34299994,FALSE,870,25.81800008,FALSE,1008,21.21200013
"28","453574087","Inaccurate","Inaccurate",19,"Male","Science","Post-se",3.75,5.8,0.666666666666667,4,4,4,0.5,0.5,0,0,1,1,1,0,1,0.299185108637064,FALSE,757,27.46799994,FALSE,500,12.90400004,FALSE,1744,17.2349999,FALSE,1353,13.67900014,FALSE,414,14.329,FALSE,393,7.246000051,FALSE,229,8.080999851,FALSE,351,18.23199987,FALSE,662,3.765000105,FALSE,865,14.60900021,FALSE,870,3.872999907,FALSE,1008,7.518000126
"29","485216731","Accurate","Accurate",NA,NA,NA,NA,NA,NA,0.666666666666667,0,0,4,NA,NA,0,1,NA,1,NA,NA,0,0.299185108637064,NA,593,NA,NA,816,NA,NA,719,NA,NA,435,NA,NA,434,NA,NA,322,NA,NA,366,NA,NA,434,NA,TRUE,463,3.427999973,TRUE,794,12.954,TRUE,708,25.90100002,TRUE,574,4.299999952
"30","519886802","Control","Control",NA,NA,NA,NA,NA,NA,0.75,3,0,4,NA,NA,-0.5,1,NA,1,1,NA,0,0.633937677741472,NA,149,NA,NA,143,NA,NA,130,NA,NA,105,NA,NA,133,2.413000107,NA,74,1.444000006,NA,66,1.123999834,NA,70,NA,NA,429,4,NA,255,5.18900013,NA,276,1.687999964,NA,248,4.305000067
"31","526391055","Accurate","Accurate",30,"Male",NA,"Short-c",2.25,4.2,0.5,4,4,4,0,0,0.5,1,0,0,1,0,1,-0.370320029571751,TRUE,593,6.279000044,TRUE,816,16.35700011,TRUE,719,12.227,TRUE,435,4.262000084,TRUE,434,11.33400011,TRUE,322,7.871000051,TRUE,366,3.978000164,TRUE,434,18.04099989,TRUE,463,8.330000162,TRUE,794,4.289999962,TRUE,708,3.218000174,TRUE,574,10.68000007
"32","536485353","Mixed","Mixed",NA,NA,NA,"Upper s",3.25,3.8,0.833333333333333,4,4,4,0,0,0,1,1,1,0,1,1,0.96869024684588,FALSE,757,9.454999924,TRUE,816,28.89899993,FALSE,1744,35.96899986,TRUE,435,3.694000006,FALSE,414,16.87800002,TRUE,322,4.244999886,FALSE,229,7.20600009,TRUE,434,6.030999899,TRUE,463,8.845000029,TRUE,794,10.67499995,FALSE,870,14.84900022,FALSE,1008,9.832000017
"33","538357876","Mixed","Mixed",20,"Female","Humanit","Short-c",4,7.2,0.833333333333333,4,4,4,0,0,0,1,1,1,1,1,0,0.96869024684588,FALSE,757,24.352,TRUE,816,20.66300011,FALSE,1744,23.375,TRUE,435,4.477999926,FALSE,414,7.710999966,TRUE,322,5.325999975,FALSE,229,7.203999996,TRUE,434,8.540999889,TRUE,463,6.470000029,TRUE,794,11.07999992,FALSE,870,5.065999985,FALSE,1008,7.785000086
"34","545233232","Inaccurate","Inaccurate",25,"Male","Science","Upper s",2,1.2,0.5,4,4,4,-0.5,0,0,1,1,0,0,1,0,-0.370320029571751,FALSE,757,23.54500008,FALSE,500,26.06500006,FALSE,1744,11.51600003,FALSE,1353,24.63300014,FALSE,414,3.328999996,FALSE,393,8.703000069,FALSE,229,9.27699995,FALSE,351,22.91100001,FALSE,662,8.570999861,FALSE,865,15.50899982,FALSE,870,10.47600007,FALSE,1008,7.976999998
"35","550879957","Control","Control",31,"Female","Service","Post-se",1,5,0.5,4,4,4,0.5,0.5,-1,0,1,1,0,0,1,-0.370320029571751,NA,149,7.128000021,NA,143,7.368000031,NA,130,3.720000029,NA,105,2.986999989,NA,133,2.796000004,NA,74,0.547999859,NA,66,3.472999811,NA,70,1.819999933,NA,429,0.886000156,NA,255,54.80800009,NA,276,1.882999897,NA,248,1.799000025
"36","564779462","Mixed","Mixed",21,"Female",NA,"Upper s",1.75,2,0.666666666666667,4,4,4,0,0.5,0,1,0,0,1,1,1,0.299185108637064,FALSE,757,48.21600008,TRUE,816,40.85800004,FALSE,1744,32.21700001,TRUE,435,11.55800009,FALSE,414,13.93400002,TRUE,322,13.61299992,FALSE,229,7.070000172,TRUE,434,5.365999937,TRUE,463,6.215999842,TRUE,794,213.888,FALSE,870,189.2079999,FALSE,1008,18.19099998
"37","570261009","Accurate","Accurate",NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,-2.3788354441982,NA,593,NA,NA,816,NA,NA,719,NA,NA,435,NA,TRUE,434,12.625,TRUE,322,200.6989999,NA,366,NA,TRUE,434,105.1399999,NA,463,NA,NA,794,NA,NA,708,NA,NA,574,NA
"38","580457104","Accurate","Accurate",18,"Female",NA,"Primary",3.5,5.6,0.833333333333333,4,4,4,0,0,0,1,1,1,0,1,1,0.96869024684588,TRUE,593,5.730999947,TRUE,816,2.358999968,TRUE,719,2.346999884,TRUE,435,14.44700003,TRUE,434,5.839999914,TRUE,322,22.39300013,TRUE,366,88.70000005,TRUE,434,3.129999876,TRUE,463,19.08899999,TRUE,794,5.237999916,TRUE,708,4.970000029,TRUE,574,4.055000067
"39","587311832","Control","Control",21,"Female","Service","Post-se",2.5,4.4,0.333333333333333,4,4,4,0,0,0,1,0,1,0,0,0,-1.03982516778057,NA,149,8.605000019,NA,143,4.328999996,NA,130,7.273999929,NA,105,110.677,NA,133,1.288000107,NA,74,5.742000103,NA,66,4.801000118,NA,70,4.003999949,NA,429,2.39199996,NA,255,4.227999926,NA,276,6.585999966,NA,248,3.290999889
"40","604966233","Mixed","Mixed",43,"Female","Service","Upper s",3,1.8,0.5,4,4,4,0,0,-0.5,1,0,1,0,0,1,-0.370320029571751,FALSE,757,24.88300014,TRUE,816,42.39600015,FALSE,1744,64.21799994,TRUE,435,27.14299989,FALSE,414,21.26699996,TRUE,322,88.00999999,FALSE,229,12.05999994,TRUE,434,53.421,TRUE,463,14.61299992,TRUE,794,26.08899999,FALSE,870,26.55299997,FALSE,1008,24.59299994
"41","612810712","Control","Control",18,"Female","Enginee","Short-c",3,4,0.5,4,4,4,0.5,0.5,0,1,0,1,0,1,0,-0.370320029571751,NA,149,1.460000038,NA,143,0.746999979,NA,130,4.075000048,NA,105,0.882000208,NA,133,0.52699995,NA,74,0.704999924,NA,66,1.116000175,NA,70,3.371000051,NA,429,1.381000042,NA,255,3.595999956,NA,276,5.322000027,NA,248,1.319000006
"42","615850171","Inaccurate","Inaccurate",18,"Female",NA,"Post-se",2,5.6,0.333333333333333,4,4,4,0.5,1,0,1,0,1,0,0,0,-1.03982516778057,FALSE,757,15.579,FALSE,500,8.789000034,FALSE,1744,18.56299996,FALSE,1353,15.47000003,FALSE,414,5.11500001,FALSE,393,10.66899991,FALSE,229,55.94900012,FALSE,351,23.36000013,FALSE,662,3.264000177,FALSE,865,7.247999907,FALSE,870,2.909000158,FALSE,1008,3.529000044
"43","619586979","Control","Control",19,"Male",NA,"Upper s",2.5,6,0.333333333333333,4,4,4,0,0,0,0,1,0,0,1,0,-1.03982516778057,NA,149,0.739000082,NA,143,0.018999815,NA,130,1.993000031,NA,105,6.513999939,NA,133,2.638000011,NA,74,0.434000015,NA,66,0.546999931,NA,70,0.275000095,NA,429,0.478999853,NA,255,0.762000084,NA,276,4.679000139,NA,248,0.270999908
"44","631913191","Accurate","Accurate",25,"Female","Humanit",NA,3.25,3.6,0.5,2,4,4,-0.5,0,0,1,0,1,0,0,1,-0.370320029571751,TRUE,593,7.503000021,TRUE,816,2.837999821,TRUE,719,9.450999975,TRUE,435,6.52699995,TRUE,434,8.940999985,TRUE,322,3.375,TRUE,366,21.92000008,TRUE,434,40.21899986,TRUE,463,8.814999819,TRUE,794,7.118000031,TRUE,708,12.50300002,TRUE,574,14.75300002
"45","640767440","Accurate","Accurate",32,"Female",NA,NA,3,6.2,0.333333333333333,4,3,1,0,0.5,NA,1,0,1,0,0,0,-1.03982516778057,NA,593,NA,TRUE,816,181.5070002,TRUE,719,148.9259999,TRUE,435,32.55800009,TRUE,434,33.40899992,TRUE,322,11.84700012,TRUE,366,28.77699995,TRUE,434,11.796,NA,463,NA,TRUE,794,83.49600005,NA,708,NA,NA,574,NA
"46","641661485","Inaccurate","Inaccurate",24,"Male",NA,"Upper s",2,0.6,0.333333333333333,4,4,4,-1,0,0.5,1,0,0,1,0,0,-1.03982516778057,FALSE,757,4.989000082,FALSE,500,147.9599998,FALSE,1744,5.247999907,FALSE,1353,340.6960001,FALSE,414,15.44000006,FALSE,393,20.51300001,FALSE,229,232.237,FALSE,351,214.799,FALSE,662,16.09599996,FALSE,865,3.400000095,FALSE,870,20.57299995,FALSE,1008,17.96199989
"47","652712683","Accurate","Accurate",NA,NA,"General","Post-se",NA,NA,0.666666666666667,4,4,4,0,0.5,0,1,1,1,0,0,1,0.299185108637064,TRUE,593,6.301000118,TRUE,816,15.79199982,TRUE,719,30.92000008,TRUE,435,32.12899995,TRUE,434,12.40300012,TRUE,322,12.86299992,TRUE,366,17.66100001,TRUE,434,2.329999924,TRUE,463,5.174000025,TRUE,794,2.740999937,TRUE,708,16.99300003,TRUE,574,20.98900008
"48","656678148","Control","Control",21,"Male","Agricul","Upper s",3,8.2,0.666666666666667,4,4,4,0,0.5,0,1,0,1,1,1,0,0.299185108637064,NA,149,0.760999918,NA,143,4.836000204,NA,130,1.434999943,NA,105,0.976999998,NA,133,0.53399992,NA,74,0.518999815,NA,66,0.65899992,NA,70,2.703999996,NA,429,0.934000015,NA,255,4.016000032,NA,276,2.79399991,NA,248,1.169999838
"49","718937965","Control","Control",20,"Female",NA,"Upper s",2.5,5.2,0.833333333333333,4,4,4,0,0,-0.5,1,1,1,1,0,1,0.96869024684588,NA,149,4.365999937,NA,143,1.02699995,NA,130,0.542000055,NA,105,0.89199996,NA,133,0.702000141,NA,74,0.940999985,NA,66,6.57799983,NA,70,5.019000053,NA,429,4.516000032,NA,255,0.798000097,NA,276,2.765000105,NA,248,0.723999977
"50","746476011","Mixed","Mixed",21,"Female",NA,"Post-se",3.75,6.6,0.5,0,4,4,NA,-0.5,0.5,NA,0,0,NA,1,1,-0.370320029571751,FALSE,757,28.204,TRUE,816,25.43999982,FALSE,1744,15.20599985,TRUE,435,3.147000074,NA,414,NA,NA,322,NA,NA,229,NA,NA,434,NA,TRUE,463,6.49000001,TRUE,794,6.0849998,FALSE,870,6.292999983,FALSE,1008,6.670000076
"51","747770820","Mixed","Mixed",28,"Female",NA,"Post-se",2.5,6,0.666666666666667,4,4,4,0,0.5,0,0,1,1,1,0,1,0.299185108637064,FALSE,757,35.47899985,TRUE,816,15.81900001,FALSE,1744,19.55900002,TRUE,435,8.219000101,FALSE,414,10.13199997,TRUE,322,19.59699988,FALSE,229,10.40199995,TRUE,434,9.648999929,TRUE,463,3.261000156,TRUE,794,6.388999939,FALSE,870,12.61100006,FALSE,1008,9.814999819
"52","756131958","Mixed","Mixed",22,"Male",NA,"Primary",3.75,7,0.75,4,4,4,0,NA,0,1,NA,1,0,NA,1,0.633937677741472,FALSE,757,20.62899995,TRUE,816,15.90300012,FALSE,1744,4.611000061,TRUE,435,2.734999895,FALSE,414,1.786999941,TRUE,322,1.463999987,FALSE,229,4.698999882,TRUE,434,0.144000053,TRUE,463,2.945999861,TRUE,794,10.0309999,FALSE,870,3.746999979,FALSE,1008,3.451999903
"53","758882380","Control","Control",21,"Male","Enginee",NA,3.75,5.8,0.833333333333333,4,4,4,0,0,0,1,1,1,0,1,1,0.96869024684588,NA,149,9.161000013,NA,143,1.707000017,NA,130,0.576999903,NA,105,1.450999975,NA,133,40.59599996,NA,74,0.769000053,NA,66,0.825000048,NA,70,5.552999973,NA,429,24.54299998,NA,255,1.280999899,NA,276,39.16400003,NA,248,1.245000124
"54","765227501","Accurate","Accurate",39,"Female",NA,"Post-se",2.5,3,0.2,4,4,4,0,NA,1,1,0,0,0,NA,0,-1.57542927834762,TRUE,593,7.713000059,TRUE,816,24.93799996,TRUE,719,10.92499995,TRUE,435,5.557999849,TRUE,434,13.16799998,TRUE,322,6.676000118,TRUE,366,4.022000074,TRUE,434,2.713000059,TRUE,463,10.72099996,TRUE,794,5.046999931,TRUE,708,8.520999908,TRUE,574,8.386000156
"55","770324719","Inaccurate","Inaccurate",19,"Male",NA,"Upper s",2,2.4,0.666666666666667,4,1,4,-0.5,0,0,1,1,1,0,1,0,0.299185108637064,FALSE,757,98.57599998,FALSE,500,157.6000001,NA,1744,NA,NA,1353,NA,FALSE,414,13.773,FALSE,393,11.12400007,FALSE,229,34.48300004,FALSE,351,137.398,FALSE,662,94.55800009,FALSE,865,27.45500016,FALSE,870,31.50200009,FALSE,1008,49.00600004
"56","777551760","Control","Control",20,"Female","Educati","Upper s",2.25,6.8,0.5,4,4,4,0,0,0,1,0,1,0,0,1,-0.370320029571751,NA,149,4.946000099,NA,143,4.332000017,NA,130,3.473999977,NA,105,6.358999968,NA,133,0.898000002,NA,74,0.580000162,NA,66,4.180000067,NA,70,1.633000135,NA,429,1.388999939,NA,255,3.019999981,NA,276,0.559999943,NA,248,0.447000027
"57","799260121","Inaccurate","Inaccurate",18,"Female","Science","Upper s",2.25,6.2,0.833333333333333,4,3,4,0,0,0,1,1,1,1,1,0,0.96869024684588,FALSE,757,22.4460001,FALSE,500,9.423000097,FALSE,1744,6.703000069,FALSE,1353,16.56299996,FALSE,414,5.97300005,FALSE,393,4.175000191,FALSE,229,8.51699996,FALSE,351,9.322000027,FALSE,662,29.06399989,FALSE,865,6.253999949,FALSE,870,18.93300009,FALSE,1008,4.893000126
"58","805296976","Mixed","Mixed",19,"Female","Science",NA,NA,NA,0.5,4,4,4,0,0.5,0,1,0,1,0,0,1,-0.370320029571751,FALSE,757,13.73399997,TRUE,816,19.63899994,FALSE,1744,71.64400005,TRUE,435,6.319999933,FALSE,414,3.822999954,TRUE,322,12.86199999,FALSE,229,25.50699997,TRUE,434,10.30699992,TRUE,463,3.178999901,TRUE,794,8.41899991,FALSE,870,1.894999981,FALSE,1008,2.273000002
